    Jan-Mar_2022_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 118   2   55.00  -87.00        0.3809
 119   2   57.00  -87.00        0.3809
 120   2   59.00  -87.00        0.3809
 121   2   61.00  -87.00        0.3809
 122   2   63.00  -87.00        0.3809
 123   2   65.00  -87.00        0.3809
 124   2   67.00  -87.00        0.3809
 125   2   69.00  -87.00        0.3809
 126   2   71.00  -87.00        0.3809
 127   2   73.00  -87.00        0.3809
 128   2   75.00  -87.00        0.3809
 129   2   77.00  -87.00        0.3809
 130   2   79.00  -87.00        0.3809
 131   2   81.00  -87.00        0.3809
 132   2   83.00  -87.00        0.3809
 133   2   85.00  -87.00        0.3809
 134   2   87.00  -87.00        0.3809
 135   2   89.00  -87.00        0.3809
 136   2   91.00  -87.00        0.3809
 137   2   93.00  -87.00        0.3809
 138   2   95.00  -87.00        0.3809
 139   2   97.00  -87.00        0.3809
 140   2   99.00  -87.00        0.3809
 141   2  101.00  -87.00        0.3809
 142   2  103.00  -87.00        0.3809
 143   2  105.00  -87.00        0.3809
 144   2  107.00  -87.00        0.3809
 145   2  109.00  -87.00        0.3809
 146   2  111.00  -87.00        0.3809
 147   2  113.00  -87.00        0.3809
 148   2  115.00  -87.00        0.3809
 149   2  117.00  -87.00        0.3809
 150   2  119.00  -87.00        0.3809
 151   2  121.00  -87.00        0.3809
 152   2  123.00  -87.00        0.3809
 153   2  125.00  -87.00        0.3809
 154   2  127.00  -87.00        0.3809
 155   2  129.00  -87.00        0.3809
 156   2  131.00  -87.00        0.3809
 157   2  133.00  -87.00        0.3809
 158   2  135.00  -87.00        0.3809
 159   2  137.00  -87.00        0.3809
 160   2  139.00  -87.00        0.3809
 161   2  141.00  -87.00        0.3809
 162   2  143.00  -87.00        0.3809
 163   2  145.00  -87.00        0.3809
 164   2  147.00  -87.00        0.3809
 165   2  149.00  -87.00        0.3809
 166   2  151.00  -87.00        0.3809
 167   2  153.00  -87.00        0.3809
 168   2  155.00  -87.00        0.3809
 169   2  157.00  -87.00        0.3809
 170   2  159.00  -87.00        0.3809
 171   2  161.00  -87.00        0.3809
 172   2  163.00  -87.00        0.3809
 173   2  165.00  -87.00        0.3809
 174   2  167.00  -87.00        0.3809
 175   2  169.00  -87.00        0.3809
 176   2  171.00  -87.00        0.3809
 177   2  173.00  -87.00        0.3809
 178   2  175.00  -87.00        0.3809
 179   2  177.00  -87.00        0.3809
 180   2  179.00  -87.00        0.3809
   1   3 -179.00  -85.00        0.3809
   2   3 -177.00  -85.00        0.3809
   3   3 -175.00  -85.00        0.3809
   4   3 -173.00  -85.00        0.3809
   5   3 -171.00  -85.00        0.3809
   6   3 -169.00  -85.00        0.3809
   7   3 -167.00  -85.00        0.3809
   8   3 -165.00  -85.00        0.3809
   9   3 -163.00  -85.00        0.3809
  10   3 -161.00  -85.00        0.3809
  11   3 -159.00  -85.00        0.3809
  12   3 -157.00  -85.00        0.3809
  13   3 -155.00  -85.00        0.3809
  14   3 -153.00  -85.00        0.3809
  15   3 -151.00  -85.00        0.3809
  16   3 -149.00  -85.00        0.3809
  17   3 -147.00  -85.00        0.3809
  18   3 -145.00  -85.00        0.3809
  19   3 -143.00  -85.00        0.3809
  20   3 -141.00  -85.00        0.3809
  21   3 -139.00  -85.00        0.3809
  22   3 -137.00  -85.00        0.3809
  23   3 -135.00  -85.00        0.3809
  24   3 -133.00  -85.00        0.3809
  25   3 -131.00  -85.00        0.3809
  26   3 -129.00  -85.00        0.3809
  27   3 -127.00  -85.00        0.3809
  28   3 -125.00  -85.00        0.3809
  29   3 -123.00  -85.00        0.3809
  30   3 -121.00  -85.00        0.3809
  31   3 -119.00  -85.00        0.3809
  32   3 -117.00  -85.00        0.3809
  33   3 -115.00  -85.00        0.3809
  34   3 -113.00  -85.00        0.3809
  35   3 -111.00  -85.00        0.3809
  36   3 -109.00  -85.00        0.3809
  37   3 -107.00  -85.00        0.3809
  38   3 -105.00  -85.00        0.3809
  39   3 -103.00  -85.00        0.3809
  40   3 -101.00  -85.00        0.3809
  41   3  -99.00  -85.00        0.3809
  42   3  -97.00  -85.00        0.3809
  43   3  -95.00  -85.00        0.3809
